Date,Observer,start_time,start_hour,Beh_When_Enc
9/17/2011,Obs1,8:39:16,8,Vocalizing
9/17/2011,Obs1,8:47:21,8,Vocalizing
9/17/2011,Obs1,13:10:48,13,Vocalizing
9/20/2011,Obs1,6:58:40,6,Vocalizing
9/21/2011,Obs1,12:05:11,12,Vocalizing
9/26/2011,Obs1,6:13:46,6,Vocalizing
9/27/2011,Obs1,7:04:59,7,Vocalizing
9/27/2011,Obs1,7:05:51,7,Vocalizing
9/27/2011,Obs1,7:10:00,7,Vocalizing
9/27/2011,Obs1,7:19:59,7,Vocalizing
9/27/2011,Obs1,7:55:50,7,VDU/STL/
10/2/2011,Obs1,6:21:16,6,Vocalizing
10/4/2011,Obs1,12:41:22,12,Vocalizing
10/8/2011,Obs1,7:02:18,7,Vocalizing
10/9/2011,Obs1,6:36:00,6,Vocalizing
10/9/2011,Obs1,7:01:00,7,Vocalizing
10/9/2011,Obs1,7:49:00,7,Vocalizing
10/11/2011,Obs1,6:51:13,6,Vocalizing
10/11/2011,Obs1,6:54:03,6,Vocalizing
10/13/2011,Obs1,5:42:30,5,Vocalizing
10/13/2011,Obs1,6:46:00,6,Vocalizing
10/13/2011,Obs1,6:53:00,6,Vocalizing
10/15/2011,Obs1,6:27:34,6,Vocalizing
10/15/2011,Obs1,6:35:17,6,Vocalizing
10/15/2011,Obs1,6:43:59,6,Vocalizing
10/19/2011,Obs1,11:18:59,11,Vocalizing
10/22/2011,Obs1,6:48:29,6,Vocalizing
10/22/2011,Obs1,7:11:44,7,Vocalizing
10/22/2011,Obs1,7:20:08,7,Vocalizing
10/26/2011,Obs1,6:53:05,6,Vocalizing
10/26/2011,Obs1,15:00:33,15,Vocalizing
10/29/2011,Obs1,6:12:47,6,Vocalizing
10/30/2011,Obs1,5:21:27,5,Vocalizing
10/30/2011,Obs1,6:00:56,6,Vocalizing
10/30/2011,Obs1,6:04:00,6,Vocalizing
10/31/2011,Obs1,6:42:56,6,Vocalizing
11/9/2011,Obs1,6:09:14,6,Vocalizing
11/9/2011,Obs1,6:11:36,6,Vocalizing
11/9/2011,Obs1,6:32:12,6,Vocalizing
11/15/2011,Obs1,6:25:36,6,Vocalizing
11/19/2011,Obs1,6:24:56,6,Vocalizing
11/19/2011,Obs1,6:27:05,6,Vocalizing
11/19/2011,Obs1,6:30:39,6,Vocalizing
11/19/2011,Obs1,6:53:58,6,Vocalizing
11/21/2011,Obs1,6:55:40,6,Vocalizing
11/21/2011,Obs1,14:11:43,14,Vocalizing
11/25/2011,Obs1,5:55:16,5,Vocalizing
11/25/2011,Obs1,6:58:52,6,Vocalizing
11/25/2011,Obs1,7:30:26,7,Vocalizing
11/26/2011,Obs1,5:43:00,5,Vocalizing
11/26/2011,Obs1,5:43:00,5,OU/DU/CHI/BG/TL/
11/26/2011,Obs1,15:47:00,15,Vocalizing
11/27/2011,Obs1,5:13:00,5,Vocalizing
11/27/2011,Obs1,5:13:00,5,DU/
11/27/2011,Obs1,5:41:00,5,Vocalizing
11/27/2011,Obs1,5:47:00,5,Vocalizing
11/27/2011,Obs1,6:46:00,6,Vocalizing
11/27/2011,Obs1,6:49:00,6,Vocalizing
11/27/2011,Obs1,7:09:00,7,VDU/STL/
11/27/2011,Obs1,8:01:00,8,Vocalizing
11/27/2011,Obs1,10:29:00,10,Vocalizing
11/29/2011,Obs1,6:40:00,6,DU/
11/29/2011,Obs1,10:50:03,10,Vocalizing
12/3/2011,Obs1,6:34:24,6,Vocalizing
12/3/2011,Obs1,6:47:38,6,Vocalizing
12/5/2011,Obs1,14:32:16,14,Vocalizing
12/8/2011,Obs1,6:28:54,6,Vocalizing
12/8/2011,Obs1,6:30:46,6,Vocalizing
12/8/2011,Obs1,6:34:41,6,Vocalizing
12/8/2011,Obs1,6:40:09,6,Vocalizing
12/9/2011,Obs1,13:06:40,13,Vocalizing
12/9/2011,Obs1,13:09:55,13,Vocalizing
12/11/2011,Obs1,6:18:36,6,Vocalizing
12/12/2011,Obs1,9:00:50,9,Vocalizing
12/12/2011,Obs1,9:08:51,9,Vocalizing
12/12/2011,Obs1,9:12:43,9,Vocalizing
12/12/2011,Obs1,15:00:18,15,Vocalizing
12/16/2011,Obs1,6:06:59,6,Vocalizing
12/21/2011,Obs1,7:00:05,7,Vocalizing
12/26/2011,Obs1,6:33:14,6,Vocalizing
12/26/2011,Obs1,7:13:49,7,Vocalizing
12/26/2011,Obs1,8:39:35,8,Vocalizing
12/27/2011,Obs1,6:57:11,6,Vocalizing
12/31/2011,Obs1,11:30:51,11,Vocalizing
1/3/2012,Obs1,6:50:32,6,Vocalizing
1/3/2012,Obs1,6:55:52,6,Vocalizing
1/5/2012,Obs1,6:11:11,6,Vocalizing
1/6/2012,Obs1,7:09:19,7,Vocalizing
1/6/2012,Obs1,7:38:27,7,Vocalizing
1/6/2012,Obs1,9:10:59,9,Vocalizing
1/6/2012,Obs1,9:22:10,9,Vocalizing
1/6/2012,Obs1,9:40:17,9,DU/
1/6/2012,Obs1,9:40:42,9,Vocalizing
1/6/2012,Obs1,10:22:26,10,Vocalizing
1/7/2012,Obs1,14:32:41,14,Vocalizing
1/16/2012,Obs1,6:59:07,6,VDU/
1/16/2012,Obs1,8:48:24,8,Vocalizing
1/17/2012,Obs1,7:02:40,7,Vocalizing
1/17/2012,Obs1,9:14:23,9,Vocalizing
1/18/2012,Obs1,6:17:13,6,Vocalizing
1/18/2012,Obs1,6:29:17,6,VDU/STT/
1/18/2012,Obs1,6:49:40,6,VDU/STT/
1/25/2012,Obs1,7:31:16,7,OU/DU/WH/CHI/OU/CC/
1/25/2012,Obs1,7:35:46,7,Vocalizing
1/31/2012,Obs1,8:39:26,8,Vocalizing
2/2/2012,Obs1,7:00:51,7,Vocalizing
2/2/2012,Obs1,7:28:13,7,Vocalizing
2/2/2012,Obs1,9:12:53,9,VDU/
2/4/2012,Obs1,6:59:13,6,Vocalizing
2/13/2012,Obs1,8:26:08,8,Vocalizing
2/14/2012,Obs1,6:21:53,6,Vocalizing
2/14/2012,Obs1,6:23:09,6,Vocalizing
2/14/2012,Obs1,7:00:23,7,Vocalizing
2/14/2012,Obs1,7:14:17,7,Vocalizing
2/14/2012,Obs1,7:35:56,7,WH/OU/DU/
2/14/2012,Obs1,7:43:37,7,VDU/
2/14/2012,Obs1,7:48:25,7,Vocalizing
2/14/2012,Obs1,8:10:48,8,Vocalizing
2/17/2012,Obs1,6:16:59,6,Vocalizing
2/27/2012,Obs1,6:45:59,6,OU/WH/DU/BG/
2/27/2012,Obs1,6:56:22,6,VDU/
2/27/2012,Obs1,7:00:56,7,Vocalizing
